id_parcelle,pH_sol,azote_N_kg_ha,phosphore_P_kg_ha,potassium_K_kg_ha,pluviometrie_mm,temperature_moy_C,humidite_air_pct,type_sol,region,methode_irrigation,niveau_ensoleillement,qualite_drainage,niveau_fertilite_sol,classe_culture
P0292,6.4,38.0,43.8,51.2,355.9,16.1,51.0,Argilo-limoneux,Nord,Pluvial,Eleve,Bon,Bas,Legumineuses
P0431,5.98,118.9,89.5,156.0,820.8,19.8,62.4,Argilo-limoneux,Est,Goutte-a-goutte,Faible,Excellent,Eleve,Maraichage
P0194,6.15,42.2,35.5,56.5,499.7,18.7,38.0,Sablo-limoneux,Centre,Aspersion,Moyen,Bon,Eleve,Legumineuses
P0285,6.02,52.8,39.9,32.1,425.2,24.0,53.7,Limoneux,Ouest,Pluvial,Moyen,Moyen,Moyen,Legumineuses
P0500,6.68,77.5,67.3,117.5,509.7,24.3,45.1,Argileux,Ouest,Gravitaire,Eleve,Moyen,Moyen,Cultures_industrielles
P0306,6.24,155.2,102.0,133.5,590.9,22.4,73.4,Argilo-limoneux,Ouest,Aspersion,Eleve,Bon,Eleve,Maraichage
P0282,5.89,37.9,46.2,46.4,601.2,21.6,54.1,Sablo-limoneux,Nord,Pluvial,Moyen,Moyen,Moyen,Legumineuses
P0541,6.88,71.4,56.1,86.6,466.5,33.6,50.7,Limoneux,Est,Pluvial,Eleve,Mauvais,Bas,Cultures_industrielles
P0205,6.45,23.4,33.7,48.7,613.1,22.7,55.8,Limoneux,Est,Aspersion,Moyen,Bon,Eleve,Legumineuses
P0328,6.19,133.8,102.3,114.4,854.9,24.6,55.3,Argileux,Nord,Aspersion,Eleve,Bon,Eleve,Maraichage
P0014,5.93,98.6,69.8,73.2,598.7,22.7,72.6,Argilo-limoneux,Est,Aspersion,Faible,Bon,Moyen,Cereales
P0515,5.97,91.3,52.7,86.5,566.8,25.4,50.1,Sableux,Ouest,Pluvial,Eleve,Moyen,Eleve,Cultures_industrielles
P0004,7.31,119.6,67.3,77.6,822.0,26.2,70.2,Argileux,Nord,Pluvial,Moyen,Bon,Moyen,Cereales
P0100,6.61,123.1,74.9,60.9,683.4,21.4,64.6,Argilo-limoneux,Nord,Pluvial,Faible,Moyen,Moyen,Cereales
P0501,8.2,70.4,45.4,71.8,611.0,27.5,52.2,Argileux,Est,Pluvial,Eleve,Excellent,Moyen,Cultures_industrielles
P0236,6.72,44.0,64.8,41.0,448.2,19.6,60.1,Argilo-limoneux,Est,Goutte-a-goutte,Eleve,Bon,Eleve,Legumineuses
P0542,6.79,91.4,42.8,91.9,638.9,29.6,44.6,Limoneux,Sud,Pluvial,Moyen,Excellent,Moyen,Cultures_industrielles
P0559,8.2,91.8,85.0,75.6,592.2,22.1,38.8,Argileux,Centre,Pluvial,Eleve,Bon,Bas,Cultures_industrielles
P0359,5.52,144.5,62.3,106.8,723.2,26.2,65.6,Argileux,Nord,Goutte-a-goutte,Moyen,Excellent,Moyen,Maraichage
P0223,6.61,45.6,40.3,61.9,463.8,22.0,56.7,Sablo-limoneux,Ouest,Pluvial,Moyen,Excellent,Bas,Legumineuses
P0053,6.43,136.7,70.3,49.0,675.8,23.3,50.0,Limoneux,Centre,Aspersion,Moyen,Bon,Bas,Cereales
P0210,6.19,49.5,36.8,65.7,612.8,21.0,51.9,Sablo-limoneux,Sud,Pluvial,Moyen,Moyen,Moyen,Legumineuses
P0442,6.36,190.0,86.8,117.5,718.1,25.9,63.3,Limoneux,Est,Pluvial,Eleve,Excellent,Moyen,Maraichage
P0173,6.89,45.5,51.7,64.9,478.3,23.6,46.7,Argilo-limoneux,Centre,Goutte-a-goutte,Moyen,Bon,Eleve,Legumineuses
P0260,5.7,37.8,37.1,36.6,350.0,26.0,65.9,Limoneux,Nord,Goutte-a-goutte,Moyen,Bon,Moyen,Legumineuses
P0051,6.83,122.2,63.7,83.9,866.4,25.8,58.1,Argilo-limoneux,Nord,Aspersion,Moyen,Bon,Moyen,Cereales
P0572,8.2,88.4,67.4,105.8,599.3,25.8,32.8,Sableux,Ouest,Aspersion,Eleve,Bon,Moyen,Cultures_industrielles
P0203,6.2,42.0,43.1,33.1,605.9,21.9,56.4,Limoneux,Sud,Aspersion,Moyen,Bon,Moyen,Legumineuses
P0323,5.95,172.0,119.9,116.4,868.1,21.4,71.7,Argilo-limoneux,Sud,Goutte-a-goutte,Moyen,Excellent,Eleve,Maraichage
P0418,5.78,112.6,72.6,148.4,500.0,27.0,73.2,Argileux,Nord,Aspersion,Moyen,Bon,Eleve,Maraichage
P0470,7.4,70.0,34.1,94.9,522.8,24.9,39.3,Limoneux,Sud,Gravitaire,Eleve,Moyen,Bas,Cultures_industrielles
P0031,6.46,127.5,59.9,68.1,547.7,23.5,55.6,Limoneux,Est,Pluvial,Faible,Excellent,Bas,Cereales
P0354,5.98,187.0,94.3,120.9,688.5,21.0,68.2,Argilo-limoneux,Sud,Goutte-a-goutte,Eleve,Excellent,Eleve,Maraichage
P0565,6.99,86.8,38.5,106.9,453.4,29.3,26.7,Argileux,Sud,Gravitaire,Eleve,Bon,Moyen,Cultures_industrielles
P0352,6.75,136.9,87.3,127.2,755.6,26.3,71.4,Limoneux,Centre,Goutte-a-goutte,Moyen,Excellent,Eleve,Maraichage
P0237,6.0,34.3,38.3,35.9,525.6,21.7,61.7,Argilo-limoneux,Est,Goutte-a-goutte,Moyen,Excellent,Moyen,Legumineuses
P0116,6.82,90.0,51.0,63.9,799.3,21.8,61.6,Limoneux,Nord,Aspersion,Moyen,Bon,Moyen,Cereales
P0409,6.12,145.6,127.8,118.7,726.0,26.4,54.4,Argilo-limoneux,Ouest,Goutte-a-goutte,Eleve,Excellent,Moyen,Maraichage
P0052,6.55,126.2,77.7,98.6,801.4,21.5,62.8,Argileux,Centre,Goutte-a-goutte,Eleve,Excellent,Bas,Cereales
P0102,6.53,133.4,52.8,67.7,794.4,21.3,67.4,Limoneux,Est,Aspersion,Eleve,Moyen,Eleve,Cereales
P0569,6.93,76.6,38.8,65.8,480.6,30.6,36.5,Argileux,Nord,Aspersion,Moyen,Excellent,Bas,Cultures_industrielles
P0171,6.9,31.7,56.5,29.5,428.8,17.6,52.6,Limoneux,Ouest,Pluvial,Moyen,Excellent,Moyen,Legumineuses
P0180,6.39,40.9,46.5,39.6,594.0,22.4,53.6,Sablo-limoneux,Nord,Pluvial,Moyen,Bon,Bas,Legumineuses
P0368,6.04,190.0,119.1,98.4,861.8,16.0,74.1,Limoneux,Nord,Aspersion,Moyen,Excellent,Eleve,Maraichage
P0432,6.36,113.7,88.2,109.3,767.6,23.3,57.8,Argilo-limoneux,Nord,Aspersion,Eleve,Moyen,Eleve,Maraichage
P0147,6.21,133.0,64.4,66.0,716.8,22.5,65.2,Argilo-limoneux,Centre,Pluvial,Moyen,Bon,Bas,Cereales
P0284,6.24,41.8,44.2,62.1,604.6,27.0,46.0,Limoneux,Centre,Goutte-a-goutte,Eleve,Moyen,Moyen,Legumineuses
P0385,5.79,134.3,125.2,122.6,910.5,16.0,69.6,Argileux,Ouest,Goutte-a-goutte,Moyen,Excellent,Moyen,Maraichage
P0480,5.96,107.3,31.2,87.2,528.7,30.8,36.2,Sableux,Centre,Gravitaire,Eleve,Bon,Moyen,Cultures_industrielles
P0142,7.22,105.1,59.6,62.8,584.8,24.5,56.3,Limoneux,Est,Pluvial,Moyen,Moyen,Moyen,Cereales
P0434,6.75,136.3,61.5,99.4,791.9,29.2,59.5,Argileux,Sud,Aspersion,Eleve,Moyen,Moyen,Maraichage
P0483,6.97,80.1,58.4,79.2,619.1,26.3,33.0,Sableux,Sud,Pluvial,Eleve,Moyen,Moyen,Cultures_industrielles
P0141,6.79,110.8,64.6,71.1,534.3,25.5,73.5,Limoneux,Centre,Goutte-a-goutte,Faible,Mauvais,Bas,Cereales
P0056,7.07,96.2,48.0,62.7,705.3,22.1,68.9,Argileux,Centre,Aspersion,Faible,Excellent,Moyen,Cereales
P0110,6.67,130.5,66.2,63.7,852.7,24.9,55.7,Limoneux,Nord,Pluvial,Moyen,Bon,Moyen,Cereales
P0337,6.44,156.7,104.1,104.1,925.0,24.3,63.6,Limoneux,Ouest,Goutte-a-goutte,Eleve,Bon,Moyen,Maraichage
P0330,6.69,130.7,102.1,97.8,1050.0,27.7,59.3,Limoneux,Est,Goutte-a-goutte,Eleve,Bon,Eleve,Maraichage
P0221,6.69,32.6,29.5,39.6,726.9,16.0,58.5,Argilo-limoneux,Ouest,Aspersion,Faible,Excellent,Eleve,Legumineuses
P0218,6.06,60.7,52.7,60.3,576.7,20.0,38.6,Sablo-limoneux,Ouest,Goutte-a-goutte,Eleve,Excellent,Moyen,Legumineuses
P0566,6.51,90.2,50.2,98.9,360.1,24.7,34.0,Sableux,Sud,Gravitaire,Moyen,Moyen,Eleve,Cultures_industrielles
P0436,6.39,115.7,78.6,122.6,832.5,18.0,45.0,Argileux,Est,Aspersion,Eleve,Excellent,Eleve,Maraichage
P0347,5.93,125.2,96.0,131.7,754.6,25.3,78.0,Limoneux,Nord,Aspersion,Moyen,Excellent,Eleve,Maraichage
P0155,6.22,40.4,67.4,60.7,661.4,24.8,62.8,Sablo-limoneux,Centre,Pluvial,Eleve,Excellent,Moyen,Legumineuses
P0415,6.04,125.1,88.6,122.2,898.0,20.9,58.8,Limoneux,Ouest,Goutte-a-goutte,Moyen,Moyen,Eleve,Maraichage
P0047,6.52,97.3,42.6,54.4,457.3,22.9,47.8,Limoneux,Ouest,Pluvial,Moyen,Moyen,Eleve,Cereales
P0395,6.34,146.9,110.2,109.2,741.4,23.8,64.8,Limoneux,Ouest,Goutte-a-goutte,Eleve,Moyen,Eleve,Maraichage
P0507,7.24,72.7,34.7,45.2,804.7,34.9,60.7,Argileux,Ouest,Aspersion,Eleve,Moyen,Moyen,Cultures_industrielles
P0491,7.68,72.3,67.6,103.0,513.9,24.5,22.7,Sableux,Ouest,Aspersion,Moyen,Moyen,Bas,Cultures_industrielles
P0579,7.38,85.7,50.0,87.5,568.5,30.9,39.3,Argileux,Ouest,Gravitaire,Eleve,Bon,Bas,Cultures_industrielles
P0249,6.34,40.7,48.0,52.1,626.8,24.0,68.0,Sablo-limoneux,Est,Pluvial,Moyen,Moyen,Bas,Legumineuses
P0083,7.29,115.9,34.5,69.0,652.8,20.0,52.3,Argilo-limoneux,Sud,Pluvial,Eleve,Moyen,Eleve,Cereales
P0356,6.54,132.3,114.4,99.0,785.6,25.8,55.0,Limoneux,Ouest,Goutte-a-goutte,Faible,Bon,Eleve,Maraichage
P0024,6.13,121.8,85.1,90.5,821.1,25.9,54.4,Limoneux,Centre,Pluvial,Eleve,Bon,Moyen,Cereales
P0305,5.93,131.4,78.6,91.9,722.2,21.8,65.3,Limoneux,Nord,Pluvial,Moyen,Bon,Eleve,Maraichage
P0272,6.52,49.7,51.9,65.0,557.7,20.9,47.0,Sablo-limoneux,Ouest,Goutte-a-goutte,Moyen,Excellent,Bas,Legumineuses
P0160,6.89,55.1,56.1,50.8,627.0,22.9,43.6,Argilo-limoneux,Centre,Pluvial,Eleve,Excellent,Moyen,Legumineuses
P0039,6.17,98.1,65.0,95.3,583.9,22.8,62.0,Limoneux,Est,Aspersion,Eleve,Bon,Bas,Cereales
P0286,6.39,42.3,39.3,62.2,680.4,22.2,63.3,Sablo-limoneux,Centre,Pluvial,Moyen,Bon,Eleve,Legumineuses
P0293,6.1,31.0,44.1,42.0,575.6,21.8,60.0,Sablo-limoneux,Nord,Goutte-a-goutte,Moyen,Excellent,Bas,Legumineuses
P0380,6.86,135.1,121.7,122.6,725.4,21.9,51.8,Argilo-limoneux,Est,Aspersion,Moyen,Excellent,Eleve,Maraichage
P0011,6.51,95.5,57.4,99.5,758.9,21.3,57.5,Limoneux,Sud,Aspersion,Eleve,Bon,Moyen,Cereales
P0243,6.6,45.1,45.2,59.3,399.1,17.7,57.0,Sablo-limoneux,Est,Pluvial,Eleve,Bon,Eleve,Legumineuses
P0474,6.33,85.2,44.0,45.0,280.0,31.6,35.9,Argileux,Centre,Pluvial,Eleve,Moyen,Bas,Cultures_industrielles
P0448,6.49,110.0,79.6,122.8,728.7,23.3,67.6,Argilo-limoneux,Est,Goutte-a-goutte,Eleve,Bon,Eleve,Maraichage
P0033,6.69,93.6,60.9,45.9,685.8,24.1,48.4,Limoneux,Ouest,Aspersion,Faible,Bon,Eleve,Cereales
P0023,6.73,113.5,50.2,47.3,869.4,24.9,61.1,Argilo-limoneux,Centre,Pluvial,Eleve,Bon,Moyen,Cereales
P0509,5.92,65.8,52.0,68.8,431.4,28.6,41.0,Sableux,Est,Pluvial,Eleve,Bon,Eleve,Cultures_industrielles
P0428,6.38,150.1,127.6,133.7,770.2,25.2,65.7,Limoneux,Ouest,Goutte-a-goutte,Eleve,Excellent,Bas,Maraichage
P0026,6.74,131.5,45.4,66.3,654.0,18.3,47.8,Limoneux,Ouest,Aspersion,Eleve,Moyen,Moyen,Cereales
P0420,6.75,138.9,63.5,130.7,910.0,28.5,80.0,Limoneux,Nord,Aspersion,Moyen,Excellent,Moyen,Maraichage
P0167,6.01,27.4,36.7,25.0,584.9,19.2,72.0,Limoneux,Nord,Goutte-a-goutte,Eleve,Excellent,Bas,Legumineuses
P0531,7.46,105.4,41.7,74.3,572.8,24.4,42.4,Argileux,Sud,Pluvial,Eleve,Bon,Bas,Cultures_industrielles
P0250,5.88,35.9,62.5,37.3,515.0,16.6,66.3,Limoneux,Nord,Pluvial,Moyen,Moyen,Moyen,Legumineuses
P0454,7.29,81.6,35.5,100.9,577.6,27.3,51.0,Limoneux,Sud,Aspersion,Eleve,Moyen,Moyen,Cultures_industrielles
P0143,6.06,103.2,35.2,77.2,643.8,26.2,68.6,Argilo-limoneux,Ouest,Pluvial,Moyen,Bon,Bas,Cereales
P0271,5.7,46.7,48.0,55.8,683.9,23.1,44.2,Sablo-limoneux,Ouest,Pluvial,Eleve,Moyen,Moyen,Legumineuses
P0090,6.91,132.0,53.1,61.3,740.0,22.4,60.2,Argilo-limoneux,Nord,Pluvial,Eleve,Moyen,Bas,Cereales
P0066,7.24,130.2,55.2,81.3,709.6,18.5,71.5,Argileux,Centre,Aspersion,Eleve,Mauvais,Moyen,Cereales
P0446,6.14,156.6,109.5,124.4,791.4,19.0,59.1,Limoneux,Nord,Goutte-a-goutte,Moyen,Excellent,Eleve,Maraichage
P0450,5.78,162.4,115.1,134.9,758.1,28.4,45.0,Limoneux,Centre,Aspersion,Moyen,Excellent,Moyen,Maraichage
P0156,6.68,24.1,40.9,25.0,445.5,18.6,57.8,Limoneux,Centre,Pluvial,Moyen,Bon,Bas,Legumineuses
P0383,6.03,146.2,62.9,76.9,554.3,28.6,66.7,Argilo-limoneux,Est,Goutte-a-goutte,Moyen,Excellent,Eleve,Maraichage
P0452,5.75,115.2,55.7,72.4,540.7,22.2,43.3,Limoneux,Sud,Aspersion,Eleve,Bon,Moyen,Cultures_industrielles
P0230,6.09,51.7,44.6,66.8,612.8,19.7,48.3,Sablo-limoneux,Centre,Pluvial,Moyen,Bon,Moyen,Legumineuses
P0593,6.68,92.1,25.0,85.4,445.6,36.0,41.4,Argileux,Sud,Pluvial,Eleve,Excellent,Moyen,Cultures_industrielles
P0358,6.19,148.9,94.0,125.2,739.3,23.6,69.5,Limoneux,Centre,Aspersion,Eleve,Bon,Eleve,Maraichage
P0041,7.0,106.1,50.1,69.9,669.8,24.3,49.8,Argilo-limoneux,Nord,Aspersion,Moyen,Bon,Moyen,Cereales
P0417,6.97,126.4,91.4,119.5,624.4,21.6,60.8,Argileux,Centre,Aspersion,Moyen,Excellent,Moyen,Maraichage
P0193,7.2,48.9,54.1,57.9,725.4,20.9,52.6,Limoneux,Ouest,Pluvial,Moyen,Bon,Moyen,Legumineuses
P0246,6.95,30.9,50.2,46.5,682.3,25.5,52.5,Limoneux,Centre,Goutte-a-goutte,Eleve,Bon,Moyen,Legumineuses
P0259,6.07,55.6,55.4,57.7,550.2,16.2,51.8,Limoneux,Ouest,Aspersion,Eleve,Bon,Moyen,Legumineuses
P0584,7.59,112.2,54.5,123.6,550.2,33.6,33.5,Argileux,Nord,Gravitaire,Faible,Bon,Bas,Cultures_industrielles
P0430,6.62,149.8,88.2,105.7,968.2,23.1,61.0,Limoneux,Sud,Pluvial,Moyen,Bon,Eleve,Maraichage
P0057,6.36,125.3,59.8,61.1,701.3,23.7,62.7,Limoneux,Nord,Pluvial,Moyen,Excellent,Eleve,Cereales
P0233,6.87,53.2,66.3,45.7,693.6,17.3,56.3,Limoneux,Sud,Pluvial,Moyen,Bon,Eleve,Legumineuses
P0072,7.32,77.7,66.0,78.2,513.4,27.2,54.6,Limoneux,Nord,Goutte-a-goutte,Eleve,Bon,Bas,Cereales
P0387,6.46,121.5,103.1,110.5,622.1,31.3,70.2,Argileux,Ouest,Goutte-a-goutte,Faible,Bon,Moyen,Maraichage
P0240,6.02,39.1,59.5,28.4,545.1,18.8,55.0,Sablo-limoneux,Sud,Goutte-a-goutte,Moyen,Bon,Moyen,Legumineuses
P0091,6.74,99.1,49.2,82.5,667.5,22.9,61.7,Limoneux,Nord,Aspersion,Moyen,Excellent,Moyen,Cereales
P0290,5.7,47.7,35.1,44.4,524.2,23.9,62.9,Argilo-limoneux,Centre,Goutte-a-goutte,Moyen,Moyen,Moyen,Legumineuses
P0055,7.11,87.4,59.8,60.2,931.6,21.7,59.3,Limoneux,Ouest,Pluvial,Moyen,Mauvais,Moyen,Cereales
P0329,5.78,122.8,93.4,125.9,714.3,22.1,68.4,Argilo-limoneux,Sud,Goutte-a-goutte,Moyen,Excellent,Moyen,Maraichage
P0281,5.78,45.8,29.9,55.0,505.7,19.8,67.1,Sablo-limoneux,Nord,Pluvial,Faible,Bon,Moyen,Legumineuses
P0201,6.23,55.4,47.3,51.1,562.8,19.2,50.8,Limoneux,Ouest,Goutte-a-goutte,Moyen,Moyen,Moyen,Legumineuses
P0067,6.67,99.5,62.7,77.5,677.1,23.8,54.6,Limoneux,Nord,Pluvial,Moyen,Moyen,Moyen,Cereales
P0472,6.36,101.6,38.1,85.9,439.8,26.1,42.0,Sableux,Centre,Aspersion,Moyen,Bon,Moyen,Cultures_industrielles
P0189,7.2,70.0,46.8,60.6,673.7,19.7,66.1,Sablo-limoneux,Ouest,Pluvial,Moyen,Moyen,Bas,Legumineuses
P0441,6.33,141.9,97.2,114.7,686.2,23.8,64.9,Limoneux,Sud,Goutte-a-goutte,Eleve,Excellent,Moyen,Maraichage
P0222,5.98,42.3,52.9,57.7,598.6,19.7,56.1,Limoneux,Ouest,Pluvial,Moyen,Moyen,Moyen,Legumineuses
P0121,7.02,143.8,84.7,70.3,727.7,22.5,64.2,Limoneux,Centre,Pluvial,Eleve,Bon,Moyen,Cereales
P0320,6.41,177.3,113.4,97.1,544.9,22.8,69.3,Limoneux,Est,Goutte-a-goutte,Moyen,Excellent,Moyen,Maraichage
P0550,6.57,120.9,52.2,74.3,549.0,29.0,33.8,Limoneux,Nord,Gravitaire,Eleve,Bon,Eleve,Cultures_industrielles
P0319,6.13,113.1,101.2,93.3,629.3,20.1,63.4,Limoneux,Nord,Aspersion,Moyen,Excellent,Eleve,Maraichage
P0456,6.79,117.9,25.0,87.4,388.2,32.9,23.3,Argileux,Centre,Pluvial,Eleve,Excellent,Moyen,Cultures_industrielles
P0498,8.2,94.8,63.8,47.4,570.8,28.2,43.2,Argileux,Centre,Pluvial,Eleve,Moyen,Moyen,Cultures_industrielles
P0519,6.51,92.9,59.4,70.6,617.1,26.3,44.9,Limoneux,Ouest,Gravitaire,Eleve,Moyen,Moyen,Cultures_industrielles
P0408,6.39,133.7,77.8,111.0,764.1,18.0,67.2,Limoneux,Centre,Aspersion,Eleve,Bon,Moyen,Maraichage
P0119,7.16,106.2,74.2,41.9,667.3,25.0,57.4,Argilo-limoneux,Nord,Pluvial,Moyen,Moyen,Moyen,Cereales
P0120,7.0,117.6,60.8,64.7,694.9,29.0,63.4,Limoneux,Est,Aspersion,Moyen,Bon,Eleve,Cereales
P0304,6.81,127.5,73.0,101.5,929.7,21.1,60.1,Limoneux,Centre,Pluvial,Moyen,Moyen,Eleve,Maraichage
P0518,6.73,114.6,25.0,83.0,563.3,30.5,38.8,Argileux,Centre,Aspersion,Eleve,Moyen,Moyen,Cultures_industrielles
P0301,5.98,139.7,121.5,124.2,500.0,29.1,61.3,Limoneux,Sud,Goutte-a-goutte,Moyen,Excellent,Eleve,Maraichage
P0139,7.03,120.6,39.6,82.5,849.9,24.8,61.8,Limoneux,Est,Goutte-a-goutte,Faible,Bon,Moyen,Cereales
P0146,7.01,101.1,68.0,62.3,634.7,24.9,67.1,Argilo-limoneux,Nord,Aspersion,Eleve,Excellent,Eleve,Cereales
P0149,6.91,131.3,53.8,63.3,645.0,26.6,71.8,Argileux,Est,Goutte-a-goutte,Moyen,Bon,Eleve,Cereales
P0561,6.65,117.5,51.8,64.4,425.5,25.8,40.6,Argileux,Est,Pluvial,Eleve,Moyen,Moyen,Cultures_industrielles
P0447,5.74,134.8,71.6,112.3,742.5,29.8,67.3,Limoneux,Centre,Goutte-a-goutte,Moyen,Excellent,Eleve,Maraichage
P0163,6.38,33.7,42.1,60.6,592.6,24.7,49.6,Sablo-limoneux,Ouest,Goutte-a-goutte,Moyen,Bon,Eleve,Legumineuses
P0412,6.09,158.8,85.5,101.1,734.9,32.0,68.8,Limoneux,Ouest,Goutte-a-goutte,Eleve,Excellent,Eleve,Maraichage
P0492,6.62,94.6,47.2,95.8,382.5,26.7,36.3,Argileux,Sud,Gravitaire,Eleve,Bon,Moyen,Cultures_industrielles
P0468,7.33,80.9,40.5,114.8,850.0,32.1,32.7,Argileux,Est,Gravitaire,Eleve,Bon,Moyen,Cultures_industrielles
P0151,6.28,34.8,39.2,53.7,421.2,24.8,53.5,Sablo-limoneux,Ouest,Goutte-a-goutte,Moyen,Moyen,Moyen,Legumineuses
P0504,6.43,80.7,26.0,109.8,504.8,25.3,31.3,Sableux,Nord,Gravitaire,Moyen,Moyen,Moyen,Cultures_industrielles
P0361,6.67,121.5,84.3,117.8,845.4,25.0,63.7,Argileux,Ouest,Goutte-a-goutte,Eleve,Moyen,Eleve,Maraichage
